Publisher Label,Publisher URI,School Name,Phase ,Academy conversion date,Admission Authority ,Admission Number ,Capacity ,Nursery/Preschool ,Age Range 
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"All Saints, East Clevedon Primary School",PS,,NSC,17,119,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Ashcombe Primary,PS,,NSC,90,630,Ashcome Children's Centre Nursery,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Backwell C of E Junior,PS,,NSC,60,240,,07-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Banwell Primary School,PS,,NSC,30,210,Banwell Buddies pre-school,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Becket Primary,PS,,NSC,30,210,Playdays,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Birdwell Primary,PS,04/01/2013 00:00,GB,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Blagdon Primary,PS,,NSC,17,119,Blagdon Under 5's pre-school,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Bournville Primary,PS,,GB,60,420,,03-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Burrington CE Primary School,PS,,GB,15,105,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Castle Batch Community Primary School,PS,,NSC,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Christ Church V.A. Primary,PS,,GB,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Churchill CE VC Primary,PS,,NSC,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Corpus Christi Catholic Primary,PS,,GB,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Court-De-Wyck V.C Primary,PS,,NSC,20,140,Stepping Stones,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Crockerne CE Primary (Pill),PS,,NSC,45,315,,03-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Dundry CEVC Primary School,PS,,NSC,15,105,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Flax Bourton Primary School,PS,,NSC,15,105,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Golden Valley Primary School,PS,,NSC,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Grove Junior School,PS,,NSC,75,300,,07-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Hannah More Infants School,PS,,NSC,75,225,,05-Jul
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Herons' Moor Academy,PS,09/01/2012 00:00,GB,60,420,,03-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,High Down Infants,PS,,NSC,90,270,,03-Jul
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,High Down Junior School,PS,,NSC,90,360,,07-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Hutton C/E Primary,PS,,NSC,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Kewstoke Primary School,PS,,NSC,16,112,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Kingshill Primary School,PS,04/01/2013 00:00,GB,30,210,Greenslade Pre-School,05-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Locking Primary School,PS,,NSC,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Mary Elton Primary,PS,,NSC,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Mead Vale Primary School,PS,,NSC,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Mendip Green Primary School,PS,,NSC,90,630,Ready Steady go!,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Milton Park Primary,PS,,GB,60,420,Funny Bunnies,05-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Northleaze V.C. Primary School,PS,,NSC,30,210,Westleaze Pre-school,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Oldmixon Primary School,PS,,GB,30,210,,03-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Portishead Primary School,PS,,NSC,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Sandford Primary School,PS,,NSC,20,140,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St Andrew's C.E. Primary School,PS,,NSC,45,315,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St Anne's Primary Dual Site,PS,,GB,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St Francis' Catholic Primary,PS,,GB,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St Joseph's Catholic Primary,PS,,GB,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"St Mark's School, Worle",PS,,GB,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St Martin's CE Primary School,PS,,NSC,90,630,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St Mary's C E Primary,PS,,GB,15,105,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St. Georges VA Church Primary School,PS,,GB,30,210,,03-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St. John the Evangelist Prim.,PS,,GB,45,315,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St. Nicholas' Chantry Primary,PS,,NSC,45,315,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St.Peter's C of E Primary School,PS,,NSC,90,630,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Tickenham Church of England,PS,,GB,15,105,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Trinity Anglican Methodist Primary School,PS,,GB,60,420,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Uphill Primary School,PS,,NSC,45,315,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Walliscote Primary,PS,,GB,45,315,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,West Leigh Infants,PS,,NSC,60,180,Meadowside,04-Jul
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Windwhistle School,PS,,GB,60,420,Little Waves,03-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Winford Primary School,PS,,NSC,20,140,Winford Village Pre School,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Winscombe Primary School,PS,,NSC,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Worle Village Primary School,PS,,NSC,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Worlebury St Pauls CEVA Primary School,PS,,GB,30,210,,05-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Wraxall CEVA Primary School,PS,,GB,15,105,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Wrington CE Primary,PS,,NSC,30,210,,04-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Yatton CEVC Junior School,PS,,NSC,75,300,,07-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Yatton V C Infant School,PS,,NSC,90,270,,05-Jul
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Yeo Moor Primary,PS,,NSC,60,420,Little Sparklers,05-Nov
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Backwell Secondary School,SS,05/01/2011 00:00,GB,270,1697,,Nov-18
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Broadoak Mathematics and Computing College,SS,02/01/2012 00:00,GB,180,900,,Nov-16
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Churchill Academy & Sixth Form,SS,08/01/2011 00:00,GB,261,1605,,Nov-18
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Clevedon School,SS,02/01/2012 00:00,GB,240,1409,,Nov-18
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Gordano School,SS,07/01/2011 00:00,GB,308,1940,,Nov-18
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Hans Price Academy,SS,05/01/2011 00:00,GB,240,1200,,Nov-16
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Nailsea School,SS,08/01/2012 00:00,GB,210,1300,,Nov-18
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Priory Community School Academy,SS,18/08/2011 00:00,GB,256,1280,Priory pre-school,Nov-16
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,St. Katherine's School,SS,,NSC,180,1055,,Nov-18
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Worle School,SS,,GB,300,1500,,Nov-16
